epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,36078.7,0.18884,0.20506,0.85024,0.68699,0.58816,0.6309,0.56684,0.41198,0.79791,0.93642,0.00307,0.00307,0.00307
58,36711,0.189,0.20608,0.84915,0.68609,0.589,0.63475,0.57056,0.40865,0.7993,0.93285,0.00294625,0.00294625,0.00294625
59,37343.2,0.18498,0.20043,0.84744,0.68695,0.58815,0.63414,0.56904,0.41013,0.80108,0.93233,0.0028225,0.0028225,0.0028225
60,37975.1,0.18626,0.2008,0.84847,0.68286,0.59354,0.63028,0.56738,0.40982,0.80166,0.9341,0.00269875,0.00269875,0.00269875
61,38607.1,0.18219,0.19845,0.84653,0.68003,0.5994,0.636,0.57153,0.40706,0.79962,0.93267,0.002575,0.002575,0.002575
62,39239,0.18109,0.19617,0.8447,0.67899,0.60449,0.63662,0.57207,0.40699,0.8073,0.93425,0.00245125,0.00245125,0.00245125
63,39871,0.17792,0.19316,0.84414,0.67868,0.60364,0.63667,0.57402,0.40537,0.81076,0.92958,0.0023275,0.0023275,0.0023275
64,40503.2,0.17689,0.19177,0.84271,0.67646,0.60524,0.63562,0.57198,0.40564,0.81482,0.93127,0.00220375,0.00220375,0.00220375
65,41135.4,0.17505,0.18995,0.84399,0.68462,0.60697,0.6362,0.57314,0.40566,0.81921,0.93276,0.00208,0.00208,0.00208
66,41767.8,0.1748,0.18947,0.84238,0.67695,0.61148,0.63319,0.57111,0.40395,0.82412,0.93194,0.00195625,0.00195625,0.00195625
67,42400,0.17215,0.18432,0.84113,0.68205,0.60814,0.63321,0.57152,0.40116,0.82582,0.92853,0.0018325,0.0018325,0.0018325
68,43032.4,0.17118,0.1842,0.83922,0.68181,0.6054,0.63061,0.56914,0.40207,0.83438,0.93034,0.00170875,0.00170875,0.00170875
69,43664.5,0.16917,0.18221,0.83898,0.6842,0.6066,0.63044,0.56788,0.40282,0.83812,0.93245,0.001585,0.001585,0.001585
70,44296.6,0.16745,0.17996,0.83765,0.68471,0.60525,0.63046,0.56782,0.4026,0.8445,0.93278,0.00146125,0.00146125,0.00146125
